date,open,high,low,close,adj_close,volume
2023-05-19,42.459999,42.830002,41.900002,42.73,41.983261,30259532
2023-05-22,42.639999,43.130001,42.450001,43.040001,42.287842,21306598
2023-05-23,43.119999,43.299999,42.880001,42.990002,42.238716,20017495
2023-05-24,42.919998,43.419998,42.32,43.18,42.425396,17976183
2023-05-25,42.990002,43.18,42.509998,42.84,42.091339,13060858
2023-05-26,42.950001,42.970001,42.509998,42.82,42.071686,8538536
2023-05-29,42.75,43,41,41.740002,41.010563,30264695
2023-05-30,41.740002,42.150002,41.07,41.799999,41.069511,16427336
2023-05-31,41.66,41.66,39.32,40.049999,39.350094,49716734
2023-06-01,39.830002,41.09,39.610001,40.360001,39.654678,30998059
2023-06-02,40.360001,40.990002,40.32,40.759998,40.047684,16292794
2023-06-05,40.799999,40.860001,39.91,40.380001,39.674328,15613830
2023-06-06,40.369999,40.66,40.099998,40.240002,39.536777,13469116
2023-06-07,40.330002,40.439999,39.900002,39.970001,39.271496,11854713
2023-06-08,39.919998,41.200001,39.740002,40.709999,39.998558,28890884
2023-06-09,40.689999,40.91,40.130001,40.790001,40.077164,20302614
2023-06-12,40.75,41.099998,40.470001,40.790001,40.077164,13632632
2023-06-13,40.709999,41.25,40.599998,40.759998,40.047684,12667129
2023-06-14,40.759998,41.049999,40.599998,40.669998,39.959259,11352650
2023-06-15,40.689999,41.27,40.68,41.25,40.529125,20485450
2023-06-16,41.299999,42.57,41.299999,42.43,41.688503,30679477
2023-06-19,42.34,43.32,42.060001,42.43,41.688503,25907833
2023-06-20,42.299999,42.880001,42.18,42.549999,41.806404,15724969
2023-06-21,42.299999,42.799999,42.009998,42.150002,41.413399,12687161
2023-06-26,42.139999,42.57,41.669998,42.330002,41.590252,17925551
2023-06-27,42.209999,42.52,41.73,42.360001,41.619728,14584547
2023-06-28,42.220001,42.5,41.799999,42.150002,41.413399,12052226
2023-06-29,42,42.990002,41.740002,42,41.266018,20576062
2023-06-30,41.900002,42.439999,41.700001,42.150002,41.413399,12955115
2023-07-03,42.299999,42.540001,41.93,42.09,41.354443,15020392
2023-07-04,42.23,42.799999,41.599998,42.279999,41.541122,19547798
2023-07-05,42.200001,42.200001,40.959999,41.09,40.371922,23648850
2023-07-06,40.880001,41.66,40.709999,41.18,40.460346,18941137
2023-07-07,40.970001,42.07,40.779999,41.68,40.951611,22272076
2023-07-10,41.689999,42.290001,41.669998,42,41.266018,15974177
2023-07-11,42.209999,42.220001,41.82,42.040001,41.305321,11673456
2023-07-12,42,42.380001,41.720001,42.240002,41.501823,16566891
2023-07-13,41.759998,41.950001,41.470001,41.860001,41.860001,13134150
2023-07-14,41.849998,42.009998,41.5,41.59,41.59,11345791
2023-07-17,41.59,43.450001,41.419998,42.900002,42.900002,28811375
2023-07-18,42.689999,43.060001,42.380001,42.540001,42.540001,17498082
2023-07-19,42.34,42.939999,42.200001,42.450001,42.450001,11179445
2023-07-20,42.439999,42.75,42.349998,42.41,42.41,11051602
2023-07-21,42.419998,43.34,42.41,43.02,43.02,17779770
2023-07-24,43.119999,43.68,42.549999,42.740002,42.740002,18949073
2023-07-25,43,43.09,42.200001,42.700001,42.700001,19008453
2023-07-26,42.700001,43.099998,42.599998,43.029999,43.029999,12293007
2023-07-27,43.119999,43.759998,43.080002,43.5,43.5,20426327
